[I]18:41:08.568 ================================================================================
[I]18:41:08.578                                    SGFDebuger                                   
[I]18:41:08.579 --------------------------------------------------------------------------------
[I]18:41:08.579 Time:	18:41:08.567 
[I]18:41:08.579 Path:	F:\Project\gad\Recording\Snaker2\Server\Apps\/ServerLog/
[I]18:41:08.579 ================================================================================
[W]18:54:07.522 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:07.539 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:07.575 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:07.640 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:07.724 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:07.826 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:07.943 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.079 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.213 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.349 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.364 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.533 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.718 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.770 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:08.921 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:09.141 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:09.207 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:09.375 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:09.629 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:09.662 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:09.898 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:10.135 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:10.184 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:10.471 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:10.622 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:10.774 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:11.095 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:11.128 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:11.431 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:11.650 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:11.786 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.157 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.189 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.492 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.527 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.543 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.577 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.644 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.729 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.745 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.829 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:12.947 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.083 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.217 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.302 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.353 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.369 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.538 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.723 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.775 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.874 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:13.925 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.147 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.215 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.383 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.468 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.637 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.671 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:14.906 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.075 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.142 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.175 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.461 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.630 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.697 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:15.767 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.084 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.135 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.338 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.422 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.659 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.777 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:16.994 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.146 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.197 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.500 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.535 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.584 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.652 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.669 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.736 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.837 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.938 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:17.955 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.090 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.226 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.292 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.343 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.376 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.545 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.731 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.768 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.865 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:18.932 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.034 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.152 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.202 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.388 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.454 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.640 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.658 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:19.741 > Gateway::DoReceiveInThread() 无效的包! sid:8
